"","Gene","p.value","Adjusted.p.value"
"1","1000_at",0.982028446084416,1
"2","1001_at",0.436839201566645,1
"3","1002_f_at",0.035084667723571,1
"4","1003_s_at",0.0285018193085607,1
"5","1004_at",0.350045407109226,1
"6","1005_at",0.00028756365050286,1
"7","1006_at",0.110318023884007,1
"8","1007_s_at",0.271369851340767,1
"9","1008_f_at",0.480939885842583,1
"10","1009_at",0.30589918246582,1
"11","100_g_at",0.0165939825747705,1
"12","1010_at",0.00131776045850559,1
"13","1011_s_at",0.327466199159511,1
"14","1012_at",0.00514140851316251,1
"15","1013_at",0.000104244825426673,1
"16","1014_at",0.000141770636015164,1
"17","1015_s_at",0.0132622188792444,1
"18","1016_s_at",0.355506742563623,1
"19","1017_at",2.88827168224615e-05,0.364644299883577
"20","1018_at",0.184385887299011,1
"21","1019_g_at",0.25246816680526,1
"22","101_at",9.9011284884536e-06,0.125001747166727
"23","1020_s_at",0.0598420592927553,1
"24","1021_at",0.735823549559515,1
"25","1022_f_at",0.179735928604589,1
"26","1023_at",0.0144086671833911,1
"27","1024_at",0.143388862678977,1
"28","1025_g_at",0.0374848292432055,1
"29","1026_s_at",0.515374100787135,1
"30","1027_at",0.0186412836534397,1
"31","1028_at",0.000281842935957023,1
"32","1029_s_at",0.00943394177058305,1
"33","102_at",0.0606515537116558,1
"34","1030_s_at",4.92793777000416e-07,0.00622152143463025
"35","1031_at",0.143961639104001,1
"36","1032_at",0.00101955435490462,1
"37","1033_g_at",0.000197340066512221,1
"38","1034_at",2.13412084184232e-07,0.00269432756282593
"39","1035_g_at",1.59405584163044e-06,0.0201249550005843
"40","1036_at",0.413669421987863,1
"41","1037_at",0.0336949965930304,1
"42","1038_s_at",0.00791921712434086,1
"43","1039_s_at",0.0517286780610851,1
"44","103_at",0.744641853189212,1
"45","1040_s_at",0.0230618432956573,1
"46","1041_at",0.227744146813466,1
"47","1042_at",2.79524743328819e-09,3.52899988452634e-05
"48","1043_s_at",0.00254203089985185,1
"49","1044_s_at",2.5202842451796e-07,0.00318185885953924
"50","1045_s_at",0.194647446683623,1
"51","1046_at",0.00216830135606502,1
"52","1047_s_at",0.105132364981211,1
"53","1048_at",0.101964462432743,1
"54","1049_g_at",0.293994900460344,1
"55","104_at",0.000816834721688498,1
"56","1050_at",0.139663470857671,1
"57","1051_g_at",0.780936035758133,1
"58","1052_s_at",0.3463885761792,1
"59","1053_at",0.28549683937523,1
"60","1054_at",0.426455889823394,1
"61","1055_g_at",1.38697784667028e-06,0.0175105953142122
"62","1056_s_at",0.762605915813223,1
"63","1057_at",0.0248550081205006,1
"64","1058_at",0.665802469740602,1
"65","1059_at",0.857814178137992,1
"66","105_at",0.0839793075273341,1
"67","1060_g_at",0.0197096418987791,1
"68","1061_at",0.573205978291384,1
"69","1062_g_at",0.863412922974268,1
"70","1063_s_at",0.629168220688782,1
"71","1064_at",0.114578265349213,1
"72","1065_at",0.84841560836973,1
"73","1066_at",0.0706257437072964,1
"74","1067_at",0.254915200653151,1
"75","1068_g_at",0.204031728206879,1
