,PC1,PC118,PC162,PC171,CLASS
GSM152860,37.82161324,0.322220773,0.127530128,-7.49E-15,Tumor
GSM152861,36.83616366,0.437007162,-0.086200626,-2.51E-15,Tumor
GSM152862,38.57922693,-0.252368603,0.206094824,-1.59E-14,Tumor
GSM152863,22.65890885,-0.227577775,0.143172191,-6.91E-15,Tumor
GSM152864,38.20932139,-0.598869175,0.026069946,-1.17E-14,Tumor
GSM152865,33.0671708,-0.438792241,0.86352003,-7.75E-15,Tumor
GSM152866,36.94623345,-0.470933952,-0.114568583,-4.08E-15,Tumor
GSM152867,32.71197702,0.888002784,-0.630694639,-7.99E-15,Tumor
GSM152868,33.72479908,0.803389949,0.461896153,-2.67E-15,Tumor
GSM152869,30.16683036,-0.919654488,-0.332204524,-8.31E-15,Tumor
GSM152870,28.20120029,-0.437599063,-0.116937185,-6.31E-15,Tumor
GSM152871,27.1175452,0.141498801,-0.133038712,-1.03E-14,Tumor
GSM152872,37.88092785,0.190803674,-0.166313811,-5.60E-15,Tumor
GSM152873,30.99399739,0.212816989,-0.11594659,-4.44E-15,Tumor
GSM152874,33.04750335,1.620093376,-0.224981604,-9.26E-15,Tumor
GSM152875,31.96412181,0.698506096,0.228316658,-5.58E-15,Tumor
GSM152876,24.09494905,1.229488379,-0.881784878,9.08E-16,Tumor
GSM152877,39.04336483,-1.408620887,-0.027081366,-1.19E-14,Tumor
GSM152878,28.15799828,-1.781414904,-0.378100379,-2.75E-15,Tumor
GSM152879,35.1762933,0.655220021,0.643556004,-5.79E-16,Tumor
GSM152880,33.09001346,0.171081043,-0.202803904,-1.32E-14,Tumor
GSM152931,9.343135549,-0.626133419,0.952336139,-1.53E-15,Tumor
GSM152932,-8.006539183,-0.313080138,-0.159463516,-7.72E-17,Tumor
GSM152933,-13.11354214,0.760599586,-0.084558007,4.84E-15,Tumor
GSM152934,6.695237048,0.051939208,0.007400815,1.01E-15,Tumor
GSM152935,-9.932559291,-0.171040865,-0.083151718,3.46E-15,Tumor
GSM152936,9.260148693,-0.606452156,-0.498428225,3.47E-18,Tumor
GSM152937,-0.805460201,-0.716291973,0.184573642,-1.73E-15,Tumor
GSM152938,-8.218679481,0.335604201,-0.088373426,8.01E-16,Tumor
GSM152939,4.563401748,-0.479499086,-0.262526011,1.26E-16,Tumor
GSM152940,14.8946001,-0.298843706,-0.035017821,2.29E-16,Tumor
GSM152941,26.81631115,0.02833428,-0.447362351,-1.56E-15,Tumor
GSM152942,-7.788262808,0.420540872,-0.492341729,5.25E-15,Tumor
GSM152943,4.379700008,-1.172056132,-0.04866169,-4.02E-16,Tumor
GSM152944,-25.69221732,-0.528824598,-0.042499752,2.66E-15,Tumor
GSM152945,-0.311254994,0.298057977,-0.053966287,-1.84E-15,Tumor
GSM152946,-2.243537571,-0.54833781,1.001445708,-3.28E-15,Tumor
GSM152947,12.23429673,1.182987522,0.111463495,-1.76E-15,Tumor
GSM152948,-0.2111438,-0.284918765,-0.606545808,1.19E-15,Tumor
GSM152949,-12.0105911,-1.506643709,-1.259766786,4.69E-15,Tumor
GSM152950,-7.67976777,-0.807577952,0.933163901,3.85E-15,Tumor
GSM152951,-0.284253667,0.87597296,-0.098833798,-2.50E-15,Tumor
GSM152952,0.28149062,-0.111950849,-1.056218024,4.66E-15,Tumor
GSM152953,-2.089309914,-0.848976451,0.178965744,2.08E-15,Tumor
GSM152954,11.37977458,0.63238274,-0.023452333,1.37E-15,Tumor
GSM152955,-4.046561037,-1.608350563,0.376175294,4.03E-15,Tumor
GSM152956,-2.021549117,-0.390215538,-0.125850328,-1.79E-15,Tumor
GSM152957,8.612180653,-0.14641229,-0.207476198,3.91E-15,Tumor
GSM152958,15.90183853,-0.16719816,-0.278648836,8.37E-15,Tumor
GSM152959,16.4453764,-0.159816064,-0.12817738,4.51E-15,Tumor
GSM152960,8.537229488,-1.184105517,0.223894791,5.85E-16,Tumor
GSM152961,16.54100801,1.143873346,-0.019500675,-4.26E-16,Tumor
GSM152962,-8.283194364,-0.318180738,0.273639094,3.20E-15,Tumor
GSM152963,-5.097466378,-1.122435621,0.488050282,-1.53E-15,Tumor
GSM152964,1.929302377,0.408499328,-0.152988478,-6.92E-16,Tumor
GSM152965,-7.196838893,2.10989639,0.179525594,5.91E-15,Tumor
GSM152966,10.30190274,0.090449032,0.542203217,1.66E-15,Tumor
GSM152967,-1.526240944,0.545046261,-0.208021618,2.37E-15,Tumor
GSM152968,-15.23547351,-1.0314178,0.066758477,2.79E-16,Tumor
GSM152969,12.70492562,-0.624246608,-0.201121982,4.35E-16,Tumor
GSM152970,12.97566273,-0.50981949,0.056416662,-9.97E-16,Tumor
GSM152971,8.155808089,-0.092774049,0.083609525,2.60E-15,Tumor
GSM152972,11.38998316,-0.098491514,-0.472609769,7.24E-16,Tumor
GSM152973,-0.614047937,-0.617370022,0.456973086,2.14E-15,Tumor
GSM152974,-11.19993645,-1.30682252,0.310825367,2.41E-15,Tumor
GSM152975,-2.356169972,-2.592251367,1.44215976,1.83E-15,Tumor
GSM152976,6.809909728,-1.149009347,0.075642273,-1.84E-15,Tumor
GSM152977,9.352339098,0.155991274,-0.302965596,-2.64E-16,Tumor
GSM152978,15.2515711,0.431943352,-0.262089365,6.49E-16,Tumor
GSM152979,-13.02481527,0.031283406,-0.336321212,-1.76E-15,Tumor
GSM152980,1.707039032,0.605589934,0.145994418,1.22E-15,Tumor
GSM152981,-11.59031133,-1.397220922,-0.863267529,6.41E-15,Tumor
GSM152982,4.956273229,0.5116026,-0.475070789,1.82E-15,Tumor
GSM152983,4.633187953,0.797747365,0.179436929,3.29E-15,Tumor
GSM152984,0.80946044,0.298245123,0.783030216,3.93E-15,Tumor
GSM152985,19.8944019,-0.058377848,-0.2923659,-4.50E-15,Tumor
GSM152986,12.09788778,0.534822868,0.278454519,8.80E-16,Tumor
GSM152987,25.40972155,-0.309880508,0.054199257,2.91E-15,Tumor
GSM152988,2.532874886,-0.278638568,-1.748815521,5.84E-15,Tumor
GSM152989,18.37047229,0.214812058,-0.064055808,4.52E-15,Tumor
GSM152990,-14.08066571,0.005605435,-0.35329689,2.82E-15,Tumor
GSM152991,-18.63347598,-0.430508275,-0.532220492,2.77E-15,Tumor
GSM187524,35.42995174,-0.072729023,-0.09793769,-1.17E-14,Tumor
GSM187525,42.04585494,0.189334961,-0.045364811,-1.52E-14,Tumor
GSM187526,29.10521864,0.169492923,-0.037369784,-7.31E-15,Tumor
GSM187527,16.97723936,-0.276099513,0.155916239,-2.78E-15,Tumor
