,PC1,PC2,PC102,PC105,CLASS
GSM120593,7.173163767,2.209866729,0.317318565,2.09E-15,0
GSM120595,5.319756488,5.734313294,0.743209623,1.69E-16,0
GSM120596,7.437391239,8.557490992,0.027636997,9.74E-15,0
GSM120600,9.569182473,3.98407284,-0.116549604,3.92E-15,0
GSM120602,12.21203396,3.097018086,-0.268177146,-1.65E-14,0
GSM120603,6.673942197,12.81201003,0.297177427,6.80E-15,0
GSM120605,9.999610606,11.6015548,0.146234453,1.96E-15,0
GSM120606,18.77901902,2.026697834,0.242289912,6.21E-15,0
GSM120628,-10.7043535,6.248851099,-0.011865751,5.86E-16,0
GSM120629,-5.187626416,3.594168082,2.371996046,3.28E-15,0
GSM120631,13.83599423,-8.588182112,0.198667565,9.35E-15,0
GSM120634,7.164030275,1.668793785,-0.193096456,1.62E-15,0
GSM120635,3.663692942,-1.973264342,-1.50572426,5.22E-15,0
GSM120636,-6.917873845,1.943469902,-0.640594612,4.54E-15,0
GSM120639,-5.822440943,14.12343344,-0.719329787,3.77E-15,0
