,PC1,PC8,PC168,CLASS
GSM152993,-3.82940808,0.924289716,-5.55E-17,Tumor
GSM152994,-11.46082152,0.415823305,-1.87E-16,Tumor
GSM152995,-0.678223012,-1.777295481,-4.37E-16,Tumor
GSM152996,-1.888537589,-0.649001639,1.28E-15,Tumor
GSM152997,3.364668382,-0.764421083,1.75E-15,Tumor
GSM152998,-4.771321285,-0.133595515,-1.25E-16,Tumor
GSM152999,3.568645557,-2.050002279,3.09E-15,Tumor
GSM153000,0.493595374,-2.054423634,1.94E-15,Tumor
GSM153001,-4.766426107,-2.935887299,-9.02E-17,Tumor
GSM153002,3.354058964,-0.885959246,2.81E-15,Tumor
GSM153003,8.211773011,-1.948302505,-1.04E-15,Tumor
GSM153004,15.709472,-1.377236305,4.04E-15,Tumor
GSM153005,-7.526597942,-4.336294889,-1.53E-15,Tumor
GSM153006,2.157173457,-0.714718997,3.03E-15,Tumor
GSM153007,-20.7491109,-3.014773808,-1.51E-15,Tumor
GSM153008,-2.845501151,1.407614644,6.73E-16,Tumor
GSM153009,-1.708540256,-0.640632173,-6.18E-16,Tumor
GSM153010,6.603403558,-0.63237786,5.27E-16,Tumor
GSM153011,-1.489653863,2.203375553,-1.50E-15,Tumor
GSM153012,-7.889562885,0.01346409,-1.36E-15,Tumor
GSM153013,-5.127833003,-0.13274468,1.78E-15,Tumor
GSM153014,-0.800471759,-1.106056934,-2.15E-16,Tumor
GSM153015,0.648903983,2.543428204,3.07E-15,Tumor
GSM153016,-1.160134525,0.856588217,6.56E-16,Tumor
GSM153017,3.181456026,-0.920999685,2.12E-15,Tumor
GSM153018,-4.214031907,-1.381628072,1.16E-15,Tumor
GSM153019,-0.859789005,3.890980675,2.68E-15,Tumor
GSM153020,4.933357018,-2.826787999,-3.23E-15,Tumor
GSM153021,9.044549331,-1.229462024,-9.02E-17,Tumor
GSM153022,9.086422482,-0.546247226,2.72E-15,Tumor
GSM153023,5.585644447,-1.139015315,2.68E-15,Tumor
GSM153024,8.633934233,-2.47124743,3.63E-15,Tumor
GSM153025,-4.793502081,-3.332435199,7.29E-16,Tumor
GSM153026,-4.549603998,3.917754216,-1.32E-16,Tumor
GSM153027,0.45890947,-5.596850934,3.89E-15,Tumor
GSM153028,-7.362612231,1.452507978,1.96E-16,Tumor
GSM153029,7.06706987,-3.35837663,3.28E-15,Tumor
GSM153030,-0.398624028,-0.214550357,1.23E-15,Tumor
GSM153031,-11.79737305,-0.18631661,-5.00E-16,Tumor
GSM153032,6.281212813,-1.589837032,2.84E-15,Tumor
GSM153033,4.328186935,-3.473229183,1.94E-16,Tumor
GSM153034,3.471920404,-2.084623148,2.04E-15,Tumor
GSM153035,6.62994778,0.744489327,3.80E-15,Tumor
GSM153036,0.870113163,-0.649745544,2.33E-15,Tumor
GSM153037,-5.450512823,-0.606705518,1.77E-15,Tumor
GSM153038,-1.992755554,0.837540365,1.78E-15,Tumor
GSM153039,3.404694463,-1.533693074,2.80E-15,Tumor
GSM153040,3.820887965,-2.056448313,2.03E-15,Tumor
GSM153041,8.022485547,-1.023364198,3.73E-15,Tumor
GSM153042,-9.774565678,-1.818497145,-1.12E-15,Tumor
GSM153043,0.13893136,1.019440154,1.05E-15,Tumor
GSM153044,2.085612507,-0.89969762,8.40E-16,Tumor
GSM153045,2.004138972,-1.808382304,4.96E-16,Tumor
GSM153046,-0.529348845,-0.540446636,-1.94E-15,Tumor
GSM153047,9.628678134,-2.701325248,2.53E-16,Tumor
GSM153048,4.425480022,-2.148285365,0,Tumor
GSM153049,7.358282449,-0.537980491,2.98E-16,Tumor
GSM153050,1.804699366,-1.692890445,1.47E-15,Tumor
GSM153051,11.14944454,-1.181572183,1.38E-15,Tumor
GSM153052,-9.985850647,-2.06898466,-3.33E-16,Tumor
GSM153053,-13.62428147,-0.678374627,1.52E-15,Tumor
GSM187528,24.43299499,6.454869715,-6.05E-15,Tumor
GSM187529,29.31703096,12.40229818,-9.16E-15,Tumor
GSM187530,18.57249446,3.17150303,-3.08E-15,Tumor
GSM187531,11.87466973,2.290227996,-2.06E-15,Tumor
