"","Gene","p.value","Adjusted.p.value"
"1","42265_f_at",1.08827969807373e-09,1.37340897896905e-05
"2","42281_at",7.01032051213501e-07,0.00884702448631438
"3","42350_r_at",3.15169609720194e-09,3.97744047466885e-05
"4","42568_at",2.46049657527753e-07,0.00310514667800025
"5","42571_at",1.29573754489474e-09,1.63522078165716e-05
"6","42639_at",7.27750980814435e-08,0.000918421737787817
"7","42646_at",1.35623783118227e-09,1.71157214295202e-05
"8","42670_at",1.55903967092486e-06,0.0196750806470718
"9","42688_at",2.17014229808384e-07,0.00273871958018181
"10","42734_r_at",7.43937479446172e-08,0.00093884909906107
"11","42740_at",3.03472206555299e-06,0.0382981924672787
"12","42745_at",8.49889523026511e-07,0.0107256057805946
"13","42809_at",9.14229109529739e-07,0.0115375713622653
"14","42825_at",3.54558244953046e-07,0.00447452505130743
"15","42830_at",1.12927964269577e-06,0.0142515090908206
"16","42838_f_at",2.19532519810129e-07,0.00277050040000383
"17","42912_at",5.42351201101895e-07,0.00684447215790591
"18","42913_f_at",1.1375777102921e-07,0.00143562307038863
"19","42977_at",1.38609436582572e-06,0.0174925108967206
"20","43014_at",1.26036946119334e-09,1.590586260026e-05
"21","43066_g_at",1.66371436656512e-06,0.0209960753060519
"22","43076_at",2.11337977430755e-12,2.66708527517612e-08
"23","43102_g_at",7.67353117540148e-11,9.68399634335667e-07
"24","43112_at",3.62452884894615e-10,4.57415540737004e-06
"25","43120_at",1.0221442354056e-11,1.28994602508187e-07
"26","43125_at",2.5070671476191e-06,0.031639187402953
"27","43230_at",2.87666924013681e-09,3.63035658105266e-05
"28","43301_at",1.52333003648637e-07,0.00192244250604579
"29","43313_at",2.83682794138496e-06,0.0358007686202782
"30","43355_s_at",1.58863243216857e-15,2.00485412939673e-11
"31","43370_at",4.38041576696734e-07,0.00552808469791278
"32","43380_s_at",3.73666066124652e-06,0.0471566575449311
"33","43395_s_at",3.04613650626245e-10,3.84422427090321e-06
"34","43427_at",1.67616098019763e-06,0.0211531515700941
"35","43435_at",8.99189122816941e-09,0.000113477667299498
"36","43436_g_at",8.68574918124417e-08,0.00109614154667301
"37","43456_at",2.51055172145185e-09,3.16831627247224e-05
"38","43465_s_at",4.73555351280363e-07,0.00597626853315818
"39","43470_at",3.24251820854138e-06,0.0409205797917923
"40","43484_at",7.78903805102178e-09,9.82976602038948e-05
"41","43485_s_at",2.92126577107187e-06,0.036866374030927
"42","43506_at",8.42538634327408e-12,1.06328375652119e-07
"43","43507_g_at",4.05369456936411e-09,5.11576254653751e-05
"44","43554_at",4.33747501015282e-10,5.47389346281285e-06
"45","43580_at",3.5667682979477e-06,0.0450126159200999
"46","43585_at",8.16925232450721e-10,1.03095964335281e-05
"47","43589_at",2.52249681194389e-08,0.000318339097667319
"48","43669_at",3.48937465890865e-08,0.000440359081954271
"49","43680_at",3.47541228555467e-06,0.0438597030436999
"50","43744_at",1.43447765087973e-06,0.0181031079541022
"51","43751_at",1.27136481438976e-06,0.0160446239575988
"52","43792_at",2.18247765223444e-06,0.0275428679711986
"53","43801_f_at",2.17805468413814e-06,0.0274870501138233
"54","43817_f_at",3.12455104094068e-12,3.94318341366714e-08
"55","43818_at",1.85859201023855e-06,0.0234554311692105
"56","43827_s_at",1.90972738245018e-08,0.000241007595665213
"57","43924_at",3.57401300283621e-06,0.045104044095793
"58","43925_at",2.62095579166143e-06,0.0330764620907673
"59","43950_at",1.49216649018465e-06,0.0188311411061303
"60","43964_at",2.60436969101309e-07,0.00328671455005852
"61","43966_at",3.60537443162796e-12,4.54998253271449e-08
"62","44004_at",9.79063576785742e-11,1.23557823390361e-06
"63","44010_at",2.46762963672137e-06,0.0311414860154236
