"","Gene","p.value","Adjusted.p.value"
"1","42265_f_at",5.46336871559376e-08,0.000689477131907932
"2","42281_at",7.65597611168016e-08,0.000966184185294037
"3","42350_r_at",3.6464267871666e-08,0.000460179060540425
"4","42568_at",1.20793688082793e-07,0.00152441634360485
"5","42571_at",5.17579563124714e-09,6.53185408663389e-05
"6","42639_at",2.40481115498689e-07,0.00303487167759346
"7","42646_at",3.67901910732805e-08,0.0004642922113448
"8","42670_at",2.89848436826472e-07,0.00365788727275008
"9","42688_at",1.64987257246078e-07,0.0020821391864455
"10","42695_at",4.36691307531588e-08,0.000551104430104864
"11","42734_r_at",1.21840826319366e-07,0.00153763122815039
"12","42740_at",2.65330068557297e-08,0.000334846546519308
"13","42745_at",1.2079590048319e-07,0.00152444426409786
"14","42804_at",1.60774828096817e-07,0.00202897833058183
"15","42809_at",8.80288168631707e-07,0.0111092366881321
"16","42825_at",2.97281278089108e-07,0.00375168972948454
"17","42838_f_at",2.11620511688427e-07,0.00267065085750795
"18","42912_at",1.83952138975855e-06,0.0232147599387529
"19","42913_f_at",2.92299165934312e-07,0.00368881547409101
"20","42925_at",1.84503764787848e-07,0.00232843751162264
"21","43014_at",2.20852476669404e-07,0.00278715825556788
"22","43066_g_at",3.22986865656718e-06,0.0407609424458778
"23","43076_at",6.7295831255443e-12,8.49273390443691e-08
"24","43090_at",2.4804290618118e-06,0.0313030147600649
"25","43102_g_at",8.44825076450972e-11,1.06616924648113e-06
"26","43112_at",2.83084758832181e-10,3.57252965646213e-06
"27","43120_at",2.74469730674911e-10,3.46380800111737e-06
"28","43125_at",2.29341644137765e-06,0.028942915490186
"29","43230_at",1.69109706649888e-08,0.000213416449792159
"30","43301_at",1.0602290935106e-06,0.0133800911601038
"31","43313_at",2.98940095211169e-06,0.0377262400156495
"32","43349_r_at",2.76600133939024e-06,0.0349069369031049
"33","43355_s_at",2.19950624890212e-14,2.77577688611447e-10
"34","43370_at",2.80181739304267e-10,3.53589355001985e-06
"35","43377_s_at",3.22973011001472e-06,0.0407591939883858
"36","43395_s_at",2.08523038974481e-09,2.63156075185795e-05
"37","43427_at",5.42666792112215e-07,0.00684845491645615
"38","43440_at",4.59731267090579e-07,0.00580180859068311
"39","43456_at",1.53682490334402e-10,1.93947302802015e-06
"40","43459_at",2.98940095211169e-06,0.0377262400156495
"41","43465_s_at",4.19460147129226e-07,0.00529358705677083
"42","43470_at",2.57428668758573e-07,0.00324874979973319
"43","43484_at",4.06367037679215e-08,0.00051283520155117
"44","43485_s_at",1.17697857955066e-09,1.48534696739293e-05
"45","43493_at",7.79240190431731e-08,0.000983401120324845
"46","43506_at",1.17081009514062e-10,1.47756234006746e-06
"47","43507_g_at",1.16655178107876e-07,0.0014721883477214
"48","43554_at",1.2742090238456e-09,1.60805178809315e-05
"49","43580_at",2.59895822871506e-06,0.0327988528463841
"50","43585_at",3.98904984290875e-08,0.000503418090175085
"51","43589_at",1.36704078001044e-08,0.000172520546437317
"52","43642_at",3.22982247383734e-06,0.0407603596198273
"53","43669_at",1.07847478639535e-07,0.00136103518043093
"54","43744_at",1.75476416378003e-06,0.0221451237469039
"55","43750_at",2.08743934628971e-06,0.0263434845501761
"56","43751_at",7.98390179597531e-07,0.0100756840665208
"57","43754_at",1.08647290087244e-06,0.0137112880090102
"58","43758_at",3.5430175333921e-06,0.0447128812714083
"59","43792_at",1.34967351941742e-06,0.0170328798150478
"60","43801_f_at",5.29395613531933e-07,0.00668097264277299
"61","43817_f_at",2.50197215985509e-10,3.15748886573712e-06
"62","43827_s_at",2.30939938902118e-11,2.91446202894473e-07
"63","43850_s_at",1.48762943179191e-07,0.00187738834292139
"64","43922_at",7.47923472237088e-07,0.00943879421963205
"65","43925_at",5.66324723259134e-10,7.14701800753027e-06
"66","43931_at",3.40900877160357e-06,0.043021690697637
"67","43964_at",4.48605058224568e-08,0.000566139583479405
"68","43966_at",4.43969845522928e-10,5.60289945049936e-06
"69","43984_at",2.57419716655444e-07,0.00324863682419171
"70","44004_at",4.9649822520793e-11,6.26580760212408e-07
"71","44010_at",4.8725723368366e-07,0.00614918628908779
"72","44045_at",1.8548348732138e-06,0.0234080160999581
"73","44057_at",1.87289205470071e-08,0.00023635897730323
"74","44075_at",4.91335645135336e-07,0.00620065584160794
"75","44077_at",1.29677036831958e-06,0.0163652420481931
"76","44080_at",3.45407323826037e-08,0.000435904042668458
"77","44088_at",2.66152191241695e-10,3.35884065347019e-06
"78","44102_at",9.54804957346656e-07,0.0120496385617148
"79","44106_at",4.39844282664215e-09,5.55083484722239e-05
"80","44119_at",3.16187446291262e-11,3.99028557219573e-07
"81","44128_at",2.74477488755531e-06,0.034639059080948
"82","44140_at",1.15646965219665e-07,0.00145946470107217
"83","44148_at",1.37608715412674e-07,0.00173662198850795
"84","44339_at",6.39947668509288e-07,0.00807613957658722
"85","44422_r_at",1.16653036548721e-07,0.00147216132124486
"86","44436_at",2.98695136952694e-08,0.0003769532628343
"87","44568_at",1.74105612066767e-06,0.0219721282428259
"88","44575_at",6.29516944502181e-07,0.00794450383961752
"89","44576_at",2.13444072160704e-07,0.00269366419066809
"90","44591_at",1.14043838377763e-06,0.0143923324032737
"91","44596_at",1.72325270974255e-10,2.17474491969509e-06
"92","44598_at",2.96138189558602e-09,3.73726395222956e-05
"93","44605_at",1.26585132819493e-06,0.01597504376182
"94","44606_at",6.04186657878457e-07,0.00762483562242612
"95","44631_at",3.94523687811956e-06,0.0497888894018688
"96","44649_at",7.35528807125961e-07,0.00928237354592962
"97","44662_at",2.49976199815237e-06,0.0315469964166829
"98","44676_at",3.65361895134071e-06,0.0461086711659197
"99","44691_at",1.59557623610273e-06,0.0201361720996165
"100","44699_at",7.13168316898558e-11,9.00018415925981e-07
"101","44710_at",7.97522156192124e-10,1.00647296111446e-05
"102","44720_at",3.30580525519268e-06,0.0417192623205316
"103","44733_at",1.40683921135627e-09,1.77543108473161e-05
"104","44745_at",1.31768371139581e-06,0.0166291684378152
"105","44746_at",1.07843498172604e-07,0.00136098494693826
"106","44748_at",8.72784047994529e-10,1.1014534685691e-05
"107","44761_at",3.32625483173143e-09,4.19773359764506e-05
"108","44793_s_at",4.05698226018645e-07,0.0051199116123553
"109","44806_at",1.61530579445112e-09,2.03851591259732e-05
"110","44816_s_at",6.55090398215626e-11,8.26724082548119e-07
"111","44826_at",1.23396188402017e-10,1.55725989763345e-06
"112","44841_at",4.00708397091194e-11,5.05693997129087e-07
"113","44847_at",2.46700785165233e-07,0.00311336390878524
"114","44851_s_at",3.68212064543292e-06,0.0464683625453635
"115","44863_at",4.05698226018645e-07,0.0051199116123553
"116","44864_g_at",5.20725519486245e-07,0.00657155605591641
"117","44887_at",2.72350738874653e-06,0.0343706632459812
"118","44892_at",4.00960813596153e-10,5.06012546758345e-06
"119","44932_at",3.01278658250089e-06,0.0380213666711612
"120","44936_at",2.42286213530204e-06,0.0305765201475118
"121","44972_at",3.345132051586e-07,0.00422155664910153
"122","44986_s_at",1.09794465856258e-09,1.38560615910597e-05
"123","44988_at",1.05054040058922e-07,0.00132578198554359
"124","45055_at",2.04479246413622e-07,0.0025805280897399
"125","45091_at",1.22071093980903e-08,0.0001540537206039
"126","45156_at",6.56029236587483e-07,0.00827908896573404
"127","45171_at",1.59391074023652e-07,0.00201151535417849
"128","45178_at",2.53525269366938e-08,0.000319948889941076
"129","45179_at",7.43375977349065e-10,9.3814048341452e-06
"130","45199_at",1.60224698908003e-10,2.02203570021899e-06
"131","45217_at",9.92788495843226e-12,1.25289908175415e-07
"132","45222_at",5.56295116361856e-07,0.00702044436848662
"133","45229_at",2.84843650268059e-09,3.59472686638291e-05
"134","45233_at",1.18878190211205e-09,1.50024276046541e-05
"135","45238_at",1.28378559187962e-07,0.00162013741695208
"136","45249_at",6.34789174095341e-07,0.0080110393770832
"137","45260_at",1.95190712242048e-10,2.46330678849464e-06
"138","45269_at",1.07064148308195e-12,1.35114955164942e-08
"139","45270_at",6.55072324157631e-11,8.26701273086931e-07
"140","45272_at",1.1312420642279e-06,0.0142762748505561
"141","45293_at",2.9228405534073e-07,0.00368862477840001
"142","45297_at",9.79513996064336e-08,0.00123614666303319
"143","45298_at",1.13647421192033e-07,0.00143423045544345
"144","45300_at",1.33896244586712e-06,0.016897706066843
"145","45316_at",1.05978619516679e-07,0.00133745017830049
"146","45318_at",1.9593081855786e-07,0.00247264693020019
"147","45320_at",3.88827469369961e-10,4.90700266344891e-06
"148","45327_at",2.45089481148345e-10,3.09302925209212e-06
"149","45340_at",2.63050543661869e-11,3.31969786101279e-07
"150","45353_s_at",5.51725162151287e-07,0.00696277154634924
"151","45356_g_at",3.75690204713052e-11,4.74121038347871e-07
"152","45357_s_at",1.43496258427423e-09,1.81092278135408e-05
"153","45393_g_at",4.59746602101659e-07,0.00580200211852294
"154","45433_at",4.44045933401113e-09,5.60385967952205e-05
"155","45478_at",6.44443263611525e-09,8.13287398677745e-05
"156","45509_g_at",4.73458954906379e-08,0.00059750520109185
"157","45513_at",3.71306816781472e-08,0.000468589202778218
"158","45515_s_at",1.15873496136635e-11,1.46232352124433e-07
"159","45532_s_at",3.88662391314878e-12,4.90491937839376e-08
"160","45555_at",5.51716083601279e-07,0.00696265697504814
"161","45566_at",5.64292149177116e-11,7.12136692261521e-07
"162","45574_g_at",7.45298718667994e-08,0.000940566982959008
"163","45595_at",3.7942478522655e-07,0.00478834078955906
"164","45606_at",5.56322561572325e-07,0.00702079072704274
"165","45617_at",3.59770687320505e-06,0.0454030607398478
"166","45628_at",2.10410174935085e-06,0.0265537640768077
"167","45644_at",1.76831013538119e-06,0.0223160739085106
"168","45674_at",1.06512297485785e-10,1.3441851942706e-06
"169","45676_at",1.92526730561037e-08,0.000242968733968028
"170","45680_at",9.76487630609833e-09,0.000123232738982961
"171","45692_at",5.07896775345772e-07,0.00640965730486365
"172","45709_r_at",1.54570079798397e-06,0.0195067440705577
"173","45717_at",9.4708386660115e-07,0.0119521983965065
"174","45719_at",2.40371311451375e-06,0.0303348595051635
"175","45726_at",2.7235468969769e-06,0.0343711618398485
"176","45741_at",6.65524275190005e-10,8.39891635289787e-06
"177","45742_g_at",1.36050877554229e-06,0.0171696207473437
"178","45757_at",4.25067929206128e-08,0.000536435726658134
"179","45762_at",3.54877513959036e-08,0.000447855422616304
"180","45772_at",1.2405183651908e-13,1.56553417687078e-09
"181","45777_at",1.61530579445112e-09,2.03851591259732e-05
"182","45786_at",1.85477932405512e-06,0.0234073150695756
"183","45789_f_at",1.27328826295619e-10,1.60688978785071e-06
"184","45793_at",1.96771806402214e-12,2.48326019679594e-08
"185","45807_at",1.38240960467492e-06,0.0174460092109975
"186","45828_at",1.2863842043553e-06,0.0162341686589639
"187","45829_at",6.20176811686874e-10,7.82663136348835e-06
"188","45882_at",4.17461687611364e-08,0.000526836649765541
"189","45896_at",1.6967008265486e-09,2.14123644310433e-05
"190","45991_at",1.10299974105607e-08,0.000139198567321276
"191","46016_at",9.93820654486743e-10,1.25420166596227e-05
"192","46089_at",7.85505889698648e-07,0.00991308432799694
"193","46113_at",7.12041824623249e-07,0.0089859678267454
"194","46116_at",3.10103251948944e-07,0.00391350303959568
"195","46155_at",4.63579567396952e-07,0.00585037414054953
"196","46164_at",2.34417161293833e-07,0.00295834457552817
"197","46183_at",1.58564079399021e-10,2.00107868201565e-06
"198","46215_at",6.14576369132862e-11,7.75595377845671e-07
"199","46231_at",2.05495125097517e-06,0.0259334847873066
"200","46232_at",1.66100260029633e-08,0.000209618528157397
"201","46242_at",6.02596772133314e-08,0.000760477126432242
"202","46253_at",1.00232495890906e-06,0.0126493409814324
"203","46266_at",7.49972298762583e-09,9.4646504103838e-05
"204","46270_at",1.37611213787839e-07,0.00173665351800253
"205","46273_at",3.07343286196291e-10,3.8786722717972e-06
"206","46274_at",3.18342904844297e-08,0.000401748745913502
"207","46276_at",4.65305025423731e-12,5.87214942084749e-08
"208","46287_at",4.56778434914478e-08,0.000576454384862071
"209","46307_at",2.02491289581729e-09,2.55544007452142e-05
"210","46308_at",1.00232495890906e-06,0.0126493409814324
"211","46311_at",2.6401232931184e-06,0.0333183559591542
"212","46314_at",1.00435556731936e-08,0.000126749672595703
"213","46318_at",1.87205184391143e-09,2.36252942701622e-05
"214","46324_at",3.18028275539854e-06,0.0401351683731295
"215","46369_at",6.1913907309514e-07,0.00781353510246066
"216","46410_at",8.90378310773419e-10,1.12365742819605e-05
"217","46416_at",3.59816563342058e-06,0.0454088502937677
"218","46476_at",2.23535275552947e-11,2.8210151774782e-07
"219","46494_at",2.57903942135645e-06,0.0325474774975184
"220","46531_g_at",1.46201091142583e-07,0.0018450577702194
"221","46537_at",4.59746602101659e-07,0.00580200211852294
"222","46541_at",6.07983192837507e-08,0.000767274789360933
"223","46568_at",2.47617637515379e-10,3.12493458544408e-06
"224","46646_at",2.05501228165421e-06,0.0259342549944762
"225","46665_at",2.0389050736287e-06,0.0257309820291942
"226","46674_at",1.90911105498142e-09,2.40929815138655e-05
"227","46683_at",2.7399414325738e-09,3.45780608790814e-05
"228","46694_at",1.34186561107276e-08,0.000169343440117382
"229","46698_at",1.90963276981832e-07,0.00240995655551072
"230","46702_at",3.21251031625956e-08,0.000405418801911956
"231","46704_at",2.44179987882407e-06,0.0308155144707598
"232","46724_at",1.5421445303548e-11,1.94618639730776e-07
"233","46737_s_at",2.08762509878801e-06,0.0263458287467047
"234","46743_s_at",7.4556651671025e-08,0.000940904944088335
"235","46829_at",3.88472489105089e-06,0.0490252281250623
"236","46830_at",6.14222644319242e-07,0.00775148977130883
"237","46877_at",1.55302958201564e-07,0.00195992333250374
"238","46900_at",2.76612155912531e-06,0.0349084540761614
"239","46944_at",2.7235468969769e-06,0.0343711618398485
"240","46951_at",2.68578497765573e-07,0.00338946064180153
"241","46999_at",6.45272525915486e-07,0.00814333927705344
"242","47004_at",6.69387987253506e-09,8.44767639913924e-05
"243","47045_at",6.14252724082173e-07,0.00775186937791702
"244","47048_at",1.58584867789664e-08,0.000200134103150555
"245","47076_at",1.74108232644593e-06,0.0219724589597476
"246","47343_at",2.29235630319229e-08,0.000289295365462867
"247","47347_at",1.07784731702426e-06,0.0136024331408462
"248","47402_at",1.0323779460101e-07,0.00130286096786474
"249","47427_at",6.75739882329152e-09,8.5278373149939e-05
"250","47445_at",8.4355326321944e-08,0.00106456421818293
"251","47481_at",3.33559316573954e-10,4.20951857516329e-06
"252","47541_at",2.38563927658198e-11,3.01067676704646e-07
"253","47564_at",1.58299427650356e-06,0.0199773877694749
"254","47579_at",2.23057337994615e-12,2.81498360549204e-08
"255","47585_at",8.24297571070072e-09,0.000104026353469043
"256","47598_at",1.36418291593837e-07,0.00172159883991423
"257","47611_at",4.06351065232073e-08,0.000512815044322877
"258","47614_at",8.72230896695876e-09,0.00011007553916302
