"","Gene","p.value","Adjusted.p.value"
"1","42265_f_at",1.08827969807373e-09,1.37340897896905e-05
"2","42281_at",7.01032051213501e-07,0.00884702448631438
"3","42350_r_at",3.15169609720194e-09,3.97744047466885e-05
"4","42568_at",2.46049657527753e-07,0.00310514667800025
"5","42571_at",1.29573754489474e-09,1.63522078165716e-05
"6","42639_at",7.27750980814435e-08,0.000918421737787817
"7","42646_at",1.35623783118227e-09,1.71157214295202e-05
"8","42688_at",2.17014229808384e-07,0.00273871958018181
"9","42734_r_at",7.43937479446172e-08,0.00093884909906107
"10","42825_at",3.54558244953046e-07,0.00447452505130743
"11","42838_f_at",2.19532519810129e-07,0.00277050040000383
"12","42912_at",5.42351201101895e-07,0.00684447215790591
"13","42913_f_at",1.1375777102921e-07,0.00143562307038863
"14","43014_at",1.26036946119334e-09,1.590586260026e-05
"15","43076_at",2.11337977430755e-12,2.66708527517612e-08
"16","43102_g_at",7.67353117540148e-11,9.68399634335667e-07
"17","43112_at",3.62452884894615e-10,4.57415540737004e-06
"18","43120_at",1.0221442354056e-11,1.28994602508187e-07
"19","43230_at",2.87666924013681e-09,3.63035658105266e-05
"20","43301_at",1.52333003648637e-07,0.00192244250604579
"21","43355_s_at",1.58863243216857e-15,2.00485412939673e-11
"22","43370_at",4.38041576696734e-07,0.00552808469791278
"23","43395_s_at",3.04613650626245e-10,3.84422427090321e-06
"24","43435_at",8.99189122816941e-09,0.000113477667299498
"25","43436_g_at",8.68574918124417e-08,0.00109614154667301
"26","43456_at",2.51055172145185e-09,3.16831627247224e-05
"27","43465_s_at",4.73555351280363e-07,0.00597626853315818
"28","43484_at",7.78903805102178e-09,9.82976602038948e-05
"29","43506_at",8.42538634327408e-12,1.06328375652119e-07
"30","43507_g_at",4.05369456936411e-09,5.11576254653751e-05
"31","43554_at",4.33747501015282e-10,5.47389346281285e-06
"32","43585_at",8.16925232450721e-10,1.03095964335281e-05
"33","43589_at",2.52249681194389e-08,0.000318339097667319
"34","43669_at",3.48937465890865e-08,0.000440359081954271
"35","43817_f_at",3.12455104094068e-12,3.94318341366714e-08
"36","43827_s_at",1.90972738245018e-08,0.000241007595665213
"37","43964_at",2.60436969101309e-07,0.00328671455005852
"38","43966_at",3.60537443162796e-12,4.54998253271449e-08
"39","44004_at",9.79063576785742e-11,1.23557823390361e-06
"40","44057_at",3.81926679224866e-07,0.00481991469181781
"41","44088_at",1.47272892545544e-10,1.85858390392476e-06
"42","44106_at",5.36845585422531e-10,6.77499128803234e-06
"43","44119_at",1.29689997659841e-12,1.6366877704672e-08
"44","44140_at",5.72780598723207e-07,0.00722849115588687
"45","44339_at",1.09152631619849e-07,0.0013775062110425
"46","44436_at",8.31141535442989e-08,0.00104890061772905
"47","44596_at",1.76273589289617e-09,2.22457269683497e-05
"48","44598_at",9.83546893293408e-09,0.000124123617933628
"49","44606_at",1.76370470505545e-07,0.00222579533777998
"50","44649_at",2.00727307859889e-07,0.0025331786251918
"51","44699_at",2.04976829618827e-08,0.00025868075897896
"52","44710_at",9.21792546773907e-09,0.000116330219402867
"53","44748_at",1.72512709640703e-08,0.000217711039566568
"54","44761_at",6.14954184711768e-10,7.76072181106252e-06
"55","44791_at",3.7022208008446e-07,0.00467220265066589
"56","44806_at",7.69768696793551e-11,9.71448095353462e-07
"57","44841_at",1.32662848924079e-07,0.00167420515342188
"58","44864_g_at",7.01259398534776e-07,0.00884989360950887
"59","44892_at",1.34669238224648e-09,1.69952578639506e-05
"60","44986_s_at",2.08676982763944e-07,0.00263350352248098
"61","45091_at",3.2464397286527e-08,0.000409700693755971
"62","45171_at",1.89788030677146e-07,0.00239512494714558
